a,c,a_next,residual
0.0,1.0,0.0,0.02080000000000004
0.5128205128205128,1.0814454079654028,0.4416315151115129,2.3425705819590803e-14
1.0256410256410255,1.1347156837998171,0.9114381623539749,1.63202784619898e-13
1.5384615384615385,1.1776910792950823,1.3915396899354806,6.008527009271347e-13
2.051282051282051,1.2151128717000743,1.8771948206070228,1.6771029009987615e-12
2.5641025641025643,1.248983396187265,2.3664012191958976,3.988587238268337e-12
3.076923076923077,1.2803542521923788,2.8581072862659775,8.523404204652252e-12
3.58974358974359,1.3098536687510915,3.3516847927809326,1.685995787426009e-11
4.102564102564102,1.3378904646195515,3.8467249199835782,3.143474369693422e-11
4.615384615384615,1.3647474169188722,4.342944890751212,5.5911830720845046e-11
5.128205128205129,1.3906292772455742,4.840139953484926,9.567624470463443e-11
5.641025641025641,1.4156896709935665,5.338156482787306,1.584861131220805e-10
6.153846153846154,1.4400471912554553,5.836875885560695,2.553237621327753e-10
6.666666666666667,1.4637955439094168,6.336204455919755,4.014980570232751e-10
7.17948717948718,1.4870102203293767,6.836066702480553,6.180398415267518e-10
7.6923076923076925,1.5097530437675502,7.336400801977087,9.334769623947636e-10
8.205128205128204,1.5320753605468476,7.837155408067678,1.3860443903723763e-9
8.717948717948717,1.554020337756162,8.338287353638192,2.026423584489123e-9
9.23076923076923,1.5756246544451833,8.839759959605338,2.9211040253329656e-9
9.743589743589743,1.5969197705879292,9.341541765950833,4.156474386896036e-9
10.256410256410257,1.6179328955097318,9.843605563291582,5.843756256673771e-9
10.76923076923077,1.638687738164134,10.345927642599339,8.124900197081786e-9
11.282051282051283,1.6592050962736473,10.84848720605581,1.117958936536212e-8
11.794871794871796,1.6795033245710937,11.351265898806375,1.52334794778497e-8
12.307692307692308,1.6995987110425261,11.854247432711304,2.056780645798284e-8
12.820512820512821,1.7195057822633548,12.35741728100277,2.7530525192887012e-8
13.333333333333334,1.7392375534439726,12.860762428231192,3.654909730421707e-8
13.846153846153847,1.7588057349003816,13.364271163785375,4.814505272232594e-8
14.35897435897436,1.7782209038454746,13.867932910090602,6.295044074899891e-8
14.871794871794872,1.7974926483306994,14.371738078654925,8.172625354241347e-8
15.384615384615385,1.8166296886355229,14.875677948666102,1.0538286809858022e-7
15.897435897435898,1.8356388078602528,15.37974573636558,1.3503748852450315e-7
16.41025641025641,1.854526624901165,15.883934822013869,1.7211728586818964e-7
16.923076923076923,1.8733001654140649,16.388238178990054,2.182283785900907e-7
17.435897435897434,1.891965850105044,16.89264938544076,2.752611004686045e-7
17.94871794871795,1.9105295723635471,17.397162546622244,3.4542484861344036e-7
18.46153846153846,1.928996755069885,17.901772238066464,4.3128441595818856e-7
18.974358974358974,1.947372399868073,18.40647345628097,5.357966039731821e-7
19.487179487179485,1.9656611298449622,18.911261576042165,6.623461392685215e-7
20.0,1.9838672266714137,19.416132313227017,8.147796863866574e-7
