a,z,c,a_next,residual
0.0,-0.3202563076101739,0.7259629433989999,0.0,0.04940513709928296
0.20202020202020202,-0.3202563076101739,0.789715297844668,0.14230818278319857,3.1411060730235363e-7
0.40404040404040403,-0.3202563076101739,0.8298402620267981,0.3082436207589162,1.1891195738078508e-6
0.6060606060606061,-0.3202563076101739,0.8612733776602013,0.48287069719097786,2.8968737608714434e-6
0.8080808080808081,-0.3202563076101739,0.8879838896706655,0.6622200770844193,5.7581223974478846e-6
1.0101010101010102,-0.3202563076101739,0.9116516408213274,0.8446118176222328,1.0122147096280898e-5
1.2121212121212122,-0.3202563076101739,0.9331604620800249,1.0291619833874932,1.6347878416422823e-5
1.4141414141414141,-0.3202563076101739,0.9530390588216218,1.2153417667198012,2.4782953422675114e-5
1.6161616161616161,-0.3202563076101739,0.971565831987093,1.4028726843595742,3.571245994249406e-5
1.8181818181818181,-0.3202563076101739,0.9890123655024688,1.5914830285030157,4.9594023360466366e-5
2.0202020202020203,-0.3202563076101739,1.0055733992150553,1.7809780084894242,6.661055779244585e-5
2.2222222222222223,-0.3202563076101739,1.0213869223530607,1.9712196172901932,8.68327239041955e-5
2.4242424242424243,-0.3202563076101739,1.0365563512029743,2.1621044425195546,0.00011025409807863262
2.6262626262626263,-0.3202563076101739,1.051161359381453,2.3535528145159557,0.00013685643794292268
2.8282828282828283,-0.3202563076101739,1.0652647829241197,2.5455018769984656,0.00016667592834673783
3.0303030303030303,-0.3202563076101739,1.0789169353278008,2.7379012361494848,0.00019990150929238837
3.2323232323232323,-0.3202563076101739,1.0921584733598633,2.9307100507433175,0.0002369951159507666
3.4343434343434343,-0.3202563076101739,1.1050223030104926,3.123895076883655,0.00027882490390207515
3.6363636363636362,-0.3202563076101739,1.117534856268625,3.3174293376320776,0.00032680738456325464
3.8383838383838382,-0.3202563076101739,1.1297169239563813,3.5112912335322437,0.00038305509442193575
4.040404040404041,-0.3202563076101739,1.141584171498888,3.705463970025078,0.0004505244630991223
4.242424242424242,-0.3202563076101739,1.1531474226057494,3.899935221720883,0.0005331528729696222
4.444444444444445,-0.3202563076101739,1.1644127776274427,4.094696972398463,0.0006359705053016196
4.646464646464646,-0.3202563076101739,1.1753816210349117,4.2897454818758485,0.0007651719217001141
4.848484848484849,-0.3202563076101739,1.1860505671680572,4.485081336277297,0.0009281330758362794
5.05050505050505,-0.3202563076101739,1.1964113906735414,4.680709541628897,0.0011333593443069168
5.252525252525253,-0.3202563076101739,1.206450988831264,4.876639620914078,0.0013903488990268942
5.454545454545454,-0.3202563076101739,1.2161514254018155,5.072885673132936,0.0017093540097040671
5.656565656565657,-0.3202563076101739,1.22549010957953,5.26946634929514,0.002101021692475835
5.858585858585859,-0.3202563076101739,1.234440167360354,5.466404695787448,0.002575895695475894
6.0606060606060606,-0.3202563076101739,1.2429710648548549,5.663727810534377,0.0031437657563522237
6.262626262626263,-0.3202563076101739,1.2510495407229272,5.861466253551717,0.003812860038553856
6.4646464646464645,-0.3202563076101739,1.2586408945855085,6.059653153096245,0.004588895605650567
6.666666666666667,-0.3202563076101739,1.2657100519397635,6.258324162627404,0.005465583525218198
6.8686868686868685,-0.3202563076101739,1.2722229348331155,6.457517098717796,0.006451518281670676
7.070707070707071,-0.3202563076101739,1.2781542823640724,6.657257443133945,0.007537193705165368
7.2727272727272725,-0.3202563076101739,1.2834849938819406,6.857572018416785,0.008704485594755784
7.474747474747475,-0.3202563076101739,1.2882035137627383,7.058481754880939,0.009937078753938011
7.6767676767676765,-0.3202563076101739,1.292311320805918,7.259994791360506,0.011209225026863057
7.878787878787879,-0.3202563076101739,1.29582101290055,7.462109757976225,0.012490792887865587
8.080808080808081,-0.3202563076101739,1.2987588805028265,7.664812605161613,0.013749997561310123
8.282828282828282,-0.3202563076101739,1.30116379318532,7.868077084148706,0.01495291350400818
8.484848484848484,-0.3202563076101739,1.3030829779277386,8.071868319386171,0.016072505284881133
8.686868686868687,-0.3202563076101739,1.3045770826110665,8.276129789609188,0.0170789366960985
8.88888888888889,-0.3202563076101739,1.3057091552572277,8.480801352498197,0.01794451789473217
9.090909090909092,-0.3202563076101739,1.30654253171081,8.685819674102575,0.018669002682599967
9.292929292929292,-0.3202563076101739,1.3071377030850486,8.891121385840016,0.01925699250584534
9.494949494949495,-0.3202563076101739,1.3075494799902438,9.096646641004753,0.01971750954633289
9.696969696969697,-0.3202563076101739,1.3078250958586743,9.302341887254785,0.020065219376330434
9.8989898989899,-0.3202563076101739,1.3080033260010593,9.508161609892385,0.020318068075790285
10.1010101010101,-0.3202563076101739,1.3081145261697413,9.714069007842896,0.020494981002038393
10.303030303030303,-0.3202563076101739,1.3081813731165006,9.920035744008631,0.02061396515628311
10.505050505050505,-0.3202563076101739,1.3082200363871164,10.126041026595388,0.020690808655092208
10.707070707070708,-0.3202563076101739,1.3082415208336993,10.332070315613787,0.02073841280321065
10.909090909090908,-0.3202563076101739,1.3082529733250743,10.538113921031531,0.020766668145480116
11.11111111111111,-0.3202563076101739,1.3082588203900296,10.744165691009956,0.020782716697313575
11.313131313131313,-0.3202563076101739,1.3082616748048506,10.950221907434864,0.020791427781795102
11.515151515151516,-0.3202563076101739,1.3082630048941128,11.156280432835363,0.020795939995676527
11.717171717171718,-0.3202563076101739,1.3082635954125443,11.362340099671675,0.02079816702053472
11.919191919191919,-0.3202563076101739,1.308263844721101,11.568400302752638,0.020799212632333197
12.121212121212121,-0.3202563076101739,1.3082639446078308,11.774460744812028,0.020799678830998314
