a,z,c,a_next,residual
0.0,-0.3202563076101739,0.7259629433989997,0.0,0.051471841996896917
0.20202020202020202,-0.3202563076101739,0.7946887478233882,0.13733480163621714,-0.00604739341251892
0.40404040404040403,-0.3202563076101739,0.8373237012655145,0.3007604542546971,-0.00485339157837128
0.6060606060606061,-0.3202563076101739,0.8693345003980009,0.4748102611828172,-0.002084636779448701
0.8080808080808081,-0.3202563076101739,0.896096367680272,0.654108999961152,-0.0009031748810983675
1.0101010101010102,-0.3202563076101739,0.9196800668470432,0.8365859068549871,-0.00038094603513849634
1.2121212121212122,-0.3202563076101739,0.9410768525697268,1.0212497271929093,-0.00011442121448235198
1.4141414141414141,-0.3202563076101739,0.960848788670744,1.2075383971524982,-3.92812233476203e-5
1.6161616161616161,-0.3202563076101739,0.9793529255065361,1.3950948663773122,-0.00011657073181425837
1.8181818181818181,-0.3202563076101739,0.9968319448371254,1.5836764531073286,-0.0001468142433120878
2.0202020202020203,-0.3202563076101739,1.0134599604367218,1.7731090435683392,-0.0001542421927416271
2.2222222222222223,-0.3202563076101739,1.029367112661873,1.9632624974037935,-0.0001503499248844964
2.4242424242424243,-0.3202563076101739,1.044653747381359,2.154036468744913,-0.00014093231208778256
2.6262626262626263,-0.3202563076101739,1.0593991868285864,2.345351635358292,-0.00012902826523397692
2.8282828282828283,-0.3202563076101739,1.0736674251767444,2.53714400307074,-0.0001162653280686321
3.0303030303030303,-0.3202563076101739,1.087510979135822,2.7293610551722685,-0.00010351849792478163
3.2323232323232323,-0.3202563076101739,1.100973576122481,2.9219590642462157,-9.124924573833404e-5
3.4343434343434343,-0.3202563076101739,1.11409208309632,3.1149011633329833,-7.968730781970912e-5
3.6363636363636362,-0.3202563076101739,1.1268979228595346,3.308155929630374,-6.893118211692695e-5
3.8383838383838382,-0.3202563076101739,1.1394181352529738,3.5016963232975415,-5.900513480505687e-5
4.040404040404041,-0.3202563076101739,1.1516761863305527,3.695498878280569,-4.989210466255223e-5
4.242424242424242,-0.3202563076101739,1.1636925950747115,3.8895430755970155,-4.1552952942280896e-5
4.444444444444445,-0.3202563076101739,1.1754854255268465,4.083810851205486,-3.3937775803627446e-5
4.646464646464646,-0.3202563076101739,1.1870706780741447,4.278286204718794,-2.699254597837708e-5
4.848484848484849,-0.3202563076101739,1.1984626040381112,4.472954884815434,-2.066295625091641e-5
5.05050505050505,-0.3202563076101739,1.2096739611828862,4.667804133731265,-1.4896581890244676e-5
5.252525252525253,-0.3202563076101739,1.2207162231552764,4.86282247781948,-9.64402386549601e-6
5.454545454545454,-0.3202563076101739,1.2315997526220683,5.0579995544132945,-4.85943908046238e-6
5.656565656565657,-0.3202563076101739,1.242333945508443,5.253325967587526,-5.00703873251851e-7
5.858585858585859,-0.3202563076101739,1.2529273565573225,5.448793162599253,-3.324162387574603e-6
6.0606060606060606,-0.3202563076101739,1.2633877974480217,5.644393327769159,-6.368055122774052e-6
6.262626262626263,-0.3202563076101739,1.2737224164612075,5.84011931481658,-8.759108127032178e-6
6.4646464646464645,-0.3202563076101739,1.2839377847759956,6.0359645525623975,-1.0611756170675335e-5
6.666666666666667,-0.3202563076101739,1.2940399500506403,6.23192299334836,-1.2018895239940264e-5
6.8686868686868685,-0.3202563076101739,1.3040344978182714,6.427989051641334,-1.305720426558743e-5
7.070707070707071,-0.3202563076101739,1.3139265982524944,6.624157557267718,-1.3790161953908253e-5
7.2727272727272725,-0.3202563076101739,1.323721045667999,6.820423715912819,-1.4269824442969536e-5
7.474747474747475,-0.3202563076101739,1.3334222982265096,7.016783069414916,-1.453995608247105e-5
7.6767676767676765,-0.3202563076101739,1.343034507626105,7.213231466075924,-1.4636746909602039e-5
7.878787878787879,-0.3202563076101739,1.3525615481625064,7.409765031600129,-1.4590449858298271e-5
8.080808080808081,-0.3202563076101739,1.3620070420141515,7.6063801438090906,-1.4426524554522757e-5
8.282828282828282,-0.3202563076101739,1.3713743807337924,7.803073411150054,-1.4166211041999333e-5
8.484848484848484,-0.3202563076101739,1.3806667453772903,7.999841652567162,-1.3827402996602345e-5
8.686868686868687,-0.3202563076101739,1.3898871240821276,8.196681879922933,-1.3425186491167196e-5
8.88888888888889,-0.3202563076101739,1.399038327643055,8.393591282422612,-1.2972230929664263e-5
9.090909090909092,-0.3202563076101739,1.4081230037987291,8.590567212327544,-1.2479236387585857e-5
9.292929292929292,-0.3202563076101739,1.4171436499441894,8.787607172242687,-1.1955237333216573e-5
9.494949494949495,-0.3202563076101739,1.4261026245449435,8.98470880370254,-1.140783995712269e-5
9.696969696969697,-0.3202563076101739,1.4350021575691625,9.18186987673893,-1.084346461999175e-5
9.8989898989899,-0.3202563076101739,1.4438443598936737,9.379088280475024,-1.0267526157514695e-5
10.1010101010101,-0.3202563076101739,1.4526312318154189,9.576362014613883,-9.68457607575246e-6
10.303030303030303,-0.3202563076101739,1.4613646708428287,9.773689181647079,-9.098440126642515e-6
10.505050505050505,-0.3202563076101739,1.470046478786492,9.971067979764022,-8.512327668297459e-6
10.707070707070708,-0.3202563076101739,1.4786783682168483,10.168496696394273,-7.928918121846706e-6
10.909090909090908,-0.3202563076101739,1.4872619683929318,10.365973702278794,-7.35044160182774e-6
11.11111111111111,-0.3202563076101739,1.4957988306961663,10.563497446036166,-6.778746180824413e-6
11.313131313131313,-0.3202563076101739,1.5042904336077054,10.761066449185234,-6.21535150879815e-6
11.515151515151516,-0.3202563076101739,1.5127381872931074,10.958679301560439,-5.66149724834375e-6
