a,c,a_next,residual
18.77987798779878,1.945486147286264,18.209989400268494,6.802947097950263e-5
18.781878187818783,1.9455572856458003,18.211958465929357,6.918315711568201e-5
18.783878387838783,1.9456284240005433,18.213927531595015,7.03367593730686e-5
18.785878587858786,1.9456995623531985,18.215896597262763,7.149027752262338e-5
18.78787878787879,1.9457707007060225,18.217865662930343,7.264371123938407e-5
18.78987898789879,1.9458418390607792,18.219834728595984,7.379706012711207e-5
18.79187918791879,1.945912977418723,18.221803794258445,6.827843442858139e-7
18.793879387938794,1.9459841157806084,18.223772859916963,1.8388011867598308e-6
18.795879587958797,1.946055254146735,18.22574192557124,2.9947318086476216e-6
18.797879787978797,1.9461263925170171,18.227710991221358,4.15057620095638e-6
18.7998799879988,1.9461975308910582,18.229680056867718,5.306334326382611e-6
18.801880188018803,1.9462686692682547,18.231649122510927,6.4620061301923215e-6
18.803880388038802,1.9463398076478908,18.233618188151688,7.617591554653913e-6
18.805880588058805,1.9464109460292347,18.235587253790747,8.773090547142814e-6
18.80788078807881,1.9464820844116042,18.237556319428784,9.92850306835713e-6
18.80988098809881,1.946553222794431,18.239525385066358,1.1083829096425468e-5
18.81188118811881,1.946624361177287,18.241494450703897,1.2239068626573868e-5
18.813881388138814,1.9466954995598944,18.243463516341695,1.3394221670237627e-5
18.815881588158817,1.9467666379421136,18.245432581979877,1.4549288247622805e-5
18.817881788178816,1.9468377763239195,18.24740164761847,1.5704268387373155e-5
18.81988198819882,1.9469089147053666,18.249370713257427,1.6859162116467097e-5
18.821882188218822,1.9469800530865538,18.251339778896643,1.8013969460772827e-5
18.823882388238825,1.9470511914675956,18.253308844536008,1.9168690438609026e-5
18.825882588258825,1.9471223298485953,18.255277910175405,2.0323325063631437e-5
18.827882788278828,1.9471934682296328,18.257246975814773,2.1477873343389575e-5
18.82988298829883,1.9472646066107566,18.259216041454053,2.263233528310149e-5
18.83188318831883,1.947335744991987,18.26118510709322,2.3786710885431717e-5
18.833883388338833,1.947406883373322,18.26315417273229,2.4941000154599102e-5
18.835883588358836,1.9474780217547494,18.265123238371267,2.6095203096376807e-5
18.83788378837884,1.947549160136247,18.26709230401017,2.724931971753719e-5
18.83988398839884,1.947620298517798,18.26906136964902,2.8403350028849417e-5
18.84188418841884,1.9476914368993903,18.27103043528783,2.9557294041304694e-5
18.843884388438845,1.9477625752810184,18.272999500926602,3.071115176800365e-5
18.845884588458844,1.947833713662685,18.274968566565335,3.186492322182488e-5
18.847884788478847,1.9479048520443962,18.276937632204028,3.3018608412205275e-5
18.84988498849885,1.9479759904261589,18.278906697842668,3.417220735013604e-5
18.851885188518853,1.948047128807977,18.28087576348125,3.5325720040169095e-5
18.853885388538853,1.9481182671898427,18.28284482911979,3.647914648352568e-5
18.855885588558856,1.9481894055717355,18.284813894758297,3.763248668098296e-5
18.85788578857886,1.9482605439536154,18.28678296039682,3.878574062132767e-5
18.859885988598858,1.9483316823354162,18.288752026035418,3.9938908298120523e-5
18.86188618861886,1.9484028207170487,18.29072109167419,4.1091989691377506e-5
18.863886388638864,1.94847395909839,18.292690157313253,4.2244984783113004e-5
18.865886588658867,1.9485450974792875,18.29465922295276,4.3397893550012334e-5
18.867886788678867,1.9486162358595642,18.29662828859288,4.4550715977531574e-5
18.86988698869887,1.9486873742390274,18.29859735423382,4.5703452053125204e-5
18.871887188718873,1.9487585126174842,18.300566419875768,4.685610178378763e-5
